"PLAYER","TEAM","BYE","REC","REC YDS","REC TDS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"Cordarrelle Patterson","CHI","6","11.90","142.40","0.90","14.60","81.80","0.30","0.10","41.40"
"Justin Hardy","ATL","9","16.10","182.00","1.30","0.00","0.00","0.00","0.00","42.10"
"Gary Jennings","SEA","11","14.80","183.50","1.30","0.00","0.00","0.00","0.10","40.90"
"Keith Kirkwood","NO","9","13.80","187.60","1.20","0.00","0.00","0.00","0.00","39.80"
"Darius Slayton","NYG","11","13.40","193.90","1.00","0.00","0.00","0.00","0.10","38.70"
"Diontae Johnson","PIT","7","14.30","191.10","0.90","0.00","0.00","0.00","0.10","38.70"
"Taywan Taylor","TEN","11","13.90","170.00","0.90","0.20","1.60","0.00","0.00","36.50"
"Dontrelle Inman","NE","10","12.40","163.80","1.20","0.00","0.00","0.00","0.00","36.00"
"Tavon Austin","DAL","8","10.50","121.30","0.80","12.30","69.70","0.20","0.10","35.50"
"Aldrick Robinson","CAR","7","9.10","133.60","2.20","0.00","0.00","0.00","0.00","35.70"
"Maurice Harris","NE","10","12.00","162.10","1.20","0.20","1.10","0.00","0.10","35.40"
"Keelan Cole","JAC","10","12.40","174.00","0.80","0.00","0.00","0.00","0.00","34.60"
"Marcell Ateman","OAK","6","13.70","167.30","0.70","0.00","0.00","0.00","0.10","34.50"
"Laquon Treadwell","MIN","12","13.80","146.70","0.90","0.00","0.00","0.00","0.00","33.90"
"J.J. Nelson","OAK","6","11.60","155.70","0.70","1.90","11.40","0.10","0.10","33.00"
"Jalen Hurd","SF","4","9.70","120.40","0.70","6.60","40.30","0.30","0.10","31.70"
"Russell Shepard","NYG","11","10.30","150.80","1.00","0.00","0.00","0.00","0.00","31.40"
"Deon Cain","IND","6","11.20","134.20","1.10","0.00","0.00","0.00","0.10","31.10"
"Jordan Matthews","SF","4","10.30","147.00","1.00","0.00","0.00","0.00","0.00","31.00"
"Jake Kumerow","GB","11","10.60","135.80","0.90","0.00","0.00","0.00","0.00","29.60"
"Riley Ridley","CHI","6","10.60","130.70","1.00","0.00","0.00","0.00","0.10","29.60"
"Torrey Smith","CAR","7","9.20","145.70","0.70","0.10","1.00","0.00","0.00","28.10"
"Allen Hurns","MIA","5","9.80","141.00","0.60","0.00","0.00","0.00","0.10","27.40"
"Kelvin Harmon","WAS","10","10.00","128.20","0.70","0.00","0.00","0.00","0.10","26.90"
"Travis Fulgham","DET","5","9.80","126.30","0.70","0.00","0.00","0.00","0.10","26.50"
"DeAndre Carter","HOU","10","10.00","119.30","0.60","0.10","0.60","0.00","0.00","25.60"
"Russell Gage","ATL","9","8.50","107.20","0.80","0.00","0.00","0.00","0.00","24.00"
"Tajae Sharpe","TEN","11","8.40","116.00","0.60","0.10","0.30","0.00","0.00","23.60"
"Austin Carr","NO","9","7.30","91.30","0.90","0.00","0.00","0.00","0.00","21.80"
"Brice Butler","MIA","5","7.70","98.80","0.60","0.00","0.00","0.00","0.00","21.20"
"Bobo Wilson","TB","7","8.30","94.30","0.50","0.20","1.20","0.00","0.00","20.90"
"Cody Core","CIN","9","8.10","98.50","0.40","0.00","0.00","0.00","0.00","20.40"
"Rishard Matthews","NO","9","6.80","95.10","0.60","0.00","0.00","0.00","0.00","19.90"
"Alex Erickson","CIN","9","7.00","88.20","0.40","1.30","7.20","0.00","0.00","18.90"
"KeeSean Johnson","ARI","12","6.70","88.40","0.50","0.00","0.00","0.00","0.00","18.50"
"Trent Taylor","SF","4","7.70","78.20","0.40","0.00","0.00","0.00","0.10","17.80"
"Vyncint Smith","HOU","10","6.20","87.70","0.50","0.00","0.00","0.00","0.00","18.00"
"Trevor Davis","GB","11","6.60","80.60","0.50","0.00","0.20","0.00","0.00","17.70"
